,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,inception_utensil_shape_bias,TEA_SPOON,483,539,"primary_concept_tablespoon,primary_concept_background,color_silver,color_green","primary_concept_knife,primary_concept_background,color_grey,color_green",0.2906034834033558,0.12298229215265191,0.11776585130394879,0.16762119125070388,0.33
1,inception_utensil_shape_bias,TEA_SPOON,496,614,"primary_concept_spatula,primary_concept_background,color_brown,color_silver,color_green","primary_concept_spatula,color_darkviolet",0.08397133690967448,-0.10556546639158369,-0.0694105789531829,0.18953680330125816,0.17
2,inception_utensil_shape_bias,TEA_SPOON,448,501,"primary_concept_spoon,color_aquamarine","primary_concept_fork,color_silver",-0.029572800102124097,0.010260776053109995,0.0,0.03983357615523409,0.0
3,inception_utensil_shape_bias,TEA_SPOON,409,589,"primary_concept_spoon,primary_concept_background,color_silver,color_yellow","primary_concept_spoon,primary_concept_background,color_golden,color_yellow",0.07522873000729507,-0.0465955131693324,0.0058857882049679,0.12182424317662748,0.6
4,inception_utensil_shape_bias,TEA_SPOON,403,489,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_spoon,primary_concept_photo,color_silver,color_green",0.19837665482884748,0.16807873266905368,0.16807873266905368,0.030297922159793794,0.6
5,inception_utensil_shape_bias,TEA_SPOON,483,489,"primary_concept_tablespoon,primary_concept_background,color_silver,color_green","primary_concept_spoon,primary_concept_photo,color_silver,color_green",0.2906034834033558,0.16807873266905368,0.1568108709464822,0.12252475073430211,0.33
6,inception_utensil_shape_bias,TEA_SPOON,403,539,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_knife,primary_concept_background,color_grey,color_green",0.19837665482884748,0.12298229215265191,0.11776585130394879,0.07539436267619556,0.33
7,inception_utensil_shape_bias,TEA_SPOON,417,652,"primary_concept_shadow,primary_concept_background,primary_concept_spatula,color_green,color_silver","primary_concept_spoon,primary_concept_background,color_blue,color_green",0.08038913833865259,0.08439769074882318,0.11776585130394879,0.0040085524101705905,0.29
8,inception_utensil_shape_bias,TEA_SPOON,489,539,"primary_concept_spoon,primary_concept_photo,color_silver,color_green","primary_concept_knife,primary_concept_background,color_grey,color_green",0.16807873266905368,0.12298229215265191,0.087467929144155,0.04509644051640177,0.14
9,inception_utensil_shape_bias,TEA_SPOON,501,634,"primary_concept_fork,color_silver","primary_concept_butter_knife,color_steel",0.010260776053109995,-0.057225521087931885,0.0,0.06748629714104187,0.0
